class,frame_AP
pour,0.8985581046312179
pullup,0.8360520527859239
clap,0.5454545454545455
shoot_bow,0.5403285441356169
swing_baseball,0.41321257584624554
brush_hair,0.38925493852045956
shoot_gun,0.2922494172494172
push,0.2369002525252525
golf,0.21843434343434343
wave,0.15899926686217009
climb_stairs,0.15206611570247935
throw,0.12987012987012986
kick_ball,0.12031919693210016
stand,0.10203094777562863
run,0.08804581245526127
walk,0.07142857142857142
jump,0.0303030303030303
shoot_ball,0.024724551161055264
sit,0.0071969696969696965
pick,0.0025974025974025974
catch,0.0013568521031207597
