Class,Precision,Recall,F1,Support,Model
brush_hair,0.7142857142857143,0.7142857142857143,0.7142857142857143,7.0,TimeSFormer
cartwheel,1.0,0.2857142857142857,0.4444444444444444,7.0,TimeSFormer
catch,1.0,0.8571428571428571,0.9230769230769231,7.0,TimeSFormer
chew,0.8571428571428571,0.75,0.8,8.0,TimeSFormer
climb,1.0,1.0,1.0,8.0,TimeSFormer
climb_stairs,0.7,1.0,0.8235294117647058,7.0,TimeSFormer
draw_sword,1.0,0.75,0.8571428571428571,8.0,TimeSFormer
eat,1.0,0.875,0.9333333333333333,8.0,TimeSFormer
fencing,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0,TimeSFormer
flic_flac,0.5555555555555556,0.7142857142857143,0.625,7.0,TimeSFormer
golf,0.8888888888888888,1.0,0.9411764705882353,8.0,TimeSFormer
handstand,0.875,1.0,0.9333333333333333,7.0,TimeSFormer
kiss,1.0,1.0,1.0,7.0,TimeSFormer
pick,0.8333333333333334,0.7142857142857143,0.7692307692307693,7.0,TimeSFormer
pour,0.8888888888888888,1.0,0.9411764705882353,8.0,TimeSFormer
pullup,0.8,1.0,0.8888888888888888,8.0,TimeSFormer
pushup,1.0,1.0,1.0,7.0,TimeSFormer
ride_bike,1.0,0.875,0.9333333333333333,8.0,TimeSFormer
shoot_bow,0.8888888888888888,1.0,0.9411764705882353,8.0,TimeSFormer
shoot_gun,0.875,0.875,0.875,8.0,TimeSFormer
situp,0.8888888888888888,1.0,0.9411764705882353,8.0,TimeSFormer
smile,0.8,1.0,0.8888888888888888,8.0,TimeSFormer
smoke,0.8333333333333334,0.7142857142857143,0.7692307692307693,7.0,TimeSFormer
throw,0.8,0.5714285714285714,0.6666666666666666,7.0,TimeSFormer
wave,0.6666666666666666,0.75,0.7058823529411765,8.0,TimeSFormer
brush_hair,0.875,1.0,0.9333333333333333,7.0,VideoMAE
cartwheel,0.8333333333333334,0.7142857142857143,0.7692307692307693,7.0,VideoMAE
catch,1.0,1.0,1.0,7.0,VideoMAE
chew,1.0,1.0,1.0,8.0,VideoMAE
climb,0.8888888888888888,1.0,0.9411764705882353,8.0,VideoMAE
climb_stairs,0.875,1.0,0.9333333333333333,7.0,VideoMAE
draw_sword,1.0,0.75,0.8571428571428571,8.0,VideoMAE
eat,0.7777777777777778,0.875,0.8235294117647058,8.0,VideoMAE
fencing,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0,VideoMAE
flic_flac,0.7142857142857143,0.7142857142857143,0.7142857142857143,7.0,VideoMAE
golf,0.8888888888888888,1.0,0.9411764705882353,8.0,VideoMAE
handstand,0.875,1.0,0.9333333333333333,7.0,VideoMAE
kiss,1.0,1.0,1.0,7.0,VideoMAE
pick,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0,VideoMAE
pour,0.8,1.0,0.8888888888888888,8.0,VideoMAE
pullup,1.0,1.0,1.0,8.0,VideoMAE
pushup,1.0,1.0,1.0,7.0,VideoMAE
ride_bike,1.0,0.875,0.9333333333333333,8.0,VideoMAE
shoot_bow,0.8888888888888888,1.0,0.9411764705882353,8.0,VideoMAE
shoot_gun,0.7142857142857143,0.625,0.6666666666666666,8.0,VideoMAE
situp,1.0,1.0,1.0,8.0,VideoMAE
smile,1.0,1.0,1.0,8.0,VideoMAE
smoke,1.0,0.7142857142857143,0.8333333333333334,7.0,VideoMAE
throw,1.0,0.5714285714285714,0.7272727272727273,7.0,VideoMAE
wave,0.7777777777777778,0.875,0.8235294117647058,8.0,VideoMAE
brush_hair,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0,ViViT
cartwheel,1.0,0.2857142857142857,0.4444444444444444,7.0,ViViT
catch,0.875,1.0,0.9333333333333333,7.0,ViViT
chew,1.0,0.75,0.8571428571428571,8.0,ViViT
climb,1.0,1.0,1.0,8.0,ViViT
climb_stairs,0.875,1.0,0.9333333333333333,7.0,ViViT
draw_sword,1.0,0.875,0.9333333333333333,8.0,ViViT
eat,0.8333333333333334,0.625,0.7142857142857143,8.0,ViViT
fencing,1.0,0.7142857142857143,0.8333333333333334,7.0,ViViT
flic_flac,0.5555555555555556,0.7142857142857143,0.625,7.0,ViViT
golf,1.0,1.0,1.0,8.0,ViViT
handstand,0.6,0.8571428571428571,0.7058823529411765,7.0,ViViT
kiss,1.0,1.0,1.0,7.0,ViViT
pick,0.5,0.5714285714285714,0.5333333333333333,7.0,ViViT
pour,1.0,1.0,1.0,8.0,ViViT
pullup,1.0,1.0,1.0,8.0,ViViT
pushup,0.875,1.0,0.9333333333333333,7.0,ViViT
ride_bike,1.0,1.0,1.0,8.0,ViViT
shoot_bow,0.8888888888888888,1.0,0.9411764705882353,8.0,ViViT
shoot_gun,0.8888888888888888,1.0,0.9411764705882353,8.0,ViViT
situp,1.0,1.0,1.0,8.0,ViViT
smile,0.8888888888888888,1.0,0.9411764705882353,8.0,ViViT
smoke,0.7142857142857143,0.7142857142857143,0.7142857142857143,7.0,ViViT
throw,0.6666666666666666,0.5714285714285714,0.6153846153846154,7.0,ViViT
wave,0.7777777777777778,0.875,0.8235294117647058,8.0,ViViT
